week,title,type,submission_format,category,effort_estimate_min,due_date,link,title_link
1,Week 1 - Hello GitHub,assignment,GitHub,required,45,2022-03-15,https://rbtl-fs22.github.io/website/am-01-hello-github.html,[Week 1 - Hello GitHub](https://rbtl-fs22.github.io/website/am-01-hello-github.html)
1,Read the Syllabus carefully,reading,no submission,required,15,NA,https://rbtl-fs22.github.io/website/syllabus.html,[Read the Syllabus carefully](https://rbtl-fs22.github.io/website/syllabus.html)
1,What is open source?,reading,no submission,required,15,NA,https://open-source-for-researchers.github.io/open-source-workshop/01-what-is-open-source,[What is open source?](https://open-source-for-researchers.github.io/open-source-workshop/01-what-is-open-source)
1,"Excuse Me, Do You Have a Moment to Talk About Version Control?",reading,no submission,recommended,30,NA,https://www.tandfonline.com/doi/full/10.1080/00031305.2017.1399928,"[Excuse Me, Do You Have a Moment to Talk About Version Control?](https://www.tandfonline.com/doi/full/10.1080/00031305.2017.1399928)"
1,Reproducible? Replicable? Robust? Generalisable?,reading,no submission,recommended,10,NA,https://the-turing-way.netlify.app/reproducible-research/overview/overview-definitions.html#rr-overview-definitions,[Reproducible? Replicable? Robust? Generalisable?](https://the-turing-way.netlify.app/reproducible-research/overview/overview-definitions.html#rr-overview-definitions)
1,Six arguments why you benefit from reproducible workflows to your research,reading,no submission,recommended,10,NA,https://the-turing-way.netlify.app/reproducible-research/overview/overview-benefit.html,[Six arguments why you benefit from reproducible workflows to your research](https://the-turing-way.netlify.app/reproducible-research/overview/overview-benefit.html)
2,Week 2 - Meet RStudio,assignment,GitHub,required,45,2022-03-15,https://rbtl-fs22.github.io/website/am-02-hello-rstudio.html,[Week 2 - Meet RStudio](https://rbtl-fs22.github.io/website/am-02-hello-rstudio.html)
2,Collaboration with version control (Chapters 12.1 to 12.5),reading,no submission,required,30,NA,https://datasciencebook.ca/Getting-started-with-version-control.html#Getting-started-with-version-control,[Collaboration with version control (Chapters 12.1 to 12.5)](https://datasciencebook.ca/Getting-started-with-version-control.html#Getting-started-with-version-control)
3,Week 3 - Magic of Zotero,assignment,GitHub,required,45,2022-03-15,https://rbtl-fs22.github.io/website/am-03-reference-management.html,[Week 3 - Magic of Zotero](https://rbtl-fs22.github.io/website/am-03-reference-management.html)
3,What is a citation.cff file?,reading,no submission,required,5,NA,https://citation-file-format.github.io,[What is a citation.cff file?](https://citation-file-format.github.io)
